task,completed,username
suscipit repellat esse quibusdam voluptatem incidunt,False,Antonette
distinctio vitae autem nihil ut molestias quo,True,Antonette
et itaque necessitatibus maxime molestiae qui quas velit,False,Antonette
adipisci non ad dicta qui amet quaerat doloribus ea,False,Antonette
voluptas quo tenetur perspiciatis explicabo natus,True,Antonette
aliquam aut quasi,True,Antonette
veritatis pariatur delectus,True,Antonette
nesciunt totam sit blanditiis sit,False,Antonette
laborum aut in quam,False,Antonette
nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis,True,Antonette
repudiandae totam in est sint facere fuga,False,Antonette
earum doloribus ea doloremque quis,False,Antonette
sint sit aut vero,False,Antonette
porro aut necessitatibus eaque distinctio,False,Antonette
repellendus veritatis molestias dicta incidunt,True,Antonette
excepturi deleniti adipisci voluptatem et neque optio illum ad,True,Antonette
sunt cum tempora,False,Antonette
totam quia non,False,Antonette
doloremque quibusdam asperiores libero corrupti illum qui omnis,False,Antonette
totam atque quo nesciunt,True,Antonette
